カテゴリ,ステータス,チェック項目,説明,改善アクション
アクセシビリティ,pass,画像の代替テキスト(alt),すべての画像（1枚）にalt属性が設定されています,
アクセシビリティ,pass,言語設定,"言語が ""en"" に設定されています",
アクセシビリティ,warn,ラベルのないフォーム入力,2個の入力フィールドにラベルが関連付けられていません,"読み上げソフトを利用するユーザーのため、すべての入力欄に <label for=""id""> または aria-label を追加してください。"
アクセシビリティ,warn,テキストのないリンク,6個のリンクにアクセス可能なテキストがありません,リンク先が何であるかをユーザーが理解できるよう、説明テキストまたは aria-label を追加してください。
アクセシビリティ,pass,Viewportメタタグ,Viewportメタタグによるモバイル最適化設定あり,
アクセシビリティ,info,インタラクティブ要素,"インタラクティブ要素の合計: 71個（リンク: 32, ボタン: 29, 入力: 10）",
AI最適化,fail,EC用構造化データなし,ProductやOfferなどのEC向けSchemaが見つかりません,AIエンジンが「これは商品ページである」と正確に理解できるよう、構造化データを追加してください。
AI最適化,warn,E-E-A-T シグナル不足,運営元や公開日・更新日が明確にマークアップされていません,AI回答の引用元として選ばれる確率を上げるため、運営者情報(Organization)等をマークアップに含めてください。
パフォーマンス,info,総画像数,ページ内に1枚の画像が見つかりました,
パフォーマンス,pass,画像サイズの指定,すべての画像にwidth/height指定があります,
パフォーマンス,pass,スクリプト読み込み,全53個のスクリプト — レンダリングをブロックするものはありません,
パフォーマンス,warn,インラインスタイルの多用,インラインスタイルを持つ要素が34個見つかりました,キャッシュ効率とメンテナンス性を高めるため、インラインスタイルをCSSクラスに移行してください。
SEO,pass,ページタイトル,"""Personal Access Tokens (Classic)"" (32文字)",
SEO,pass,メタディスクリプション,142文字,
SEO,warn,複数のH1タグ,6個のH1タグが見つかりました。H1は1ページにつき1つが最適です。,最も重要な見出しをH1とし、それ以外はH2やH3に変更してください。
SEO,warn,Canonical URLなし,Canonical URLが定義されていません。重複コンテンツの問題を引き起こす可能性があります。,"<link rel=""canonical""> を追加し、このページの正規URLを指定してください。"
SEO,pass,OGPタグ (SNSシェア設定),"og:title, og:description, og:image がすべて設定されています",
SEO,pass,見出し構造,12個の見出し（階層構造に問題なし）,
構造,warn,構造化データ (Schema.org) なし,JSON-LD形式の構造化データが見つかりません,検索エンジンがコンテンツを正確に理解し、リッチリザルトを表示できるようSchema.org構造化データを追加してください。
構造,pass,ファビコン (Favicon),ファビコン設定あり,
構造,pass,HTTPS対応,安全な接続 (セキュア通信),
構造,pass,HTMLドキュメントサイズ,167 KB,
